iter	RMSE
0	0.563115548
1	0.5491771661
2	0.5358227015
3	0.5229512657
4	0.510388228
5	0.4982935623
6	0.4866283049
7	0.475365725
8	0.4644353259
9	0.4539432528
10	0.443828998
11	0.4340799638
12	0.424644262
13	0.4155618958
14	0.4068008538
15	0.3982793031
16	0.3900755215
17	0.3822009191
18	0.3745813961
19	0.3672809408
20	0.3602386075
21	0.3534450934
22	0.3469135589
23	0.3406399895
24	0.3345807073
25	0.3287345412
26	0.3231653238
27	0.3178070568
28	0.3126180783
29	0.3076718378
30	0.3029346323
31	0.2984370365
32	0.2940101558
33	0.2898112864
34	0.2858244176
35	0.2819862772
36	0.2782982091
37	0.2747349394
38	0.2713624827
39	0.2681086668
40	0.2649765127
41	0.2619761313
42	0.2590571925
43	0.2563230072
44	0.2536543219
45	0.2511886704
46	0.2487744124
47	0.2464830995
48	0.2442549095
49	0.2421781946
50	0.2401392128
51	0.2382395411
52	0.2363975683
53	0.2346344636
54	0.2329402077
55	0.2313261514
56	0.2297711762
57	0.2282557193
58	0.226870998
59	0.2255528067
60	0.2242610306
61	0.223040047
62	0.2218096488
63	0.2207003206
64	0.2195902619
65	0.218582218
66	0.2176020209
67	0.2166311291
68	0.2157069463
69	0.2148108277
70	0.2139633364
71	0.213186193
72	0.2124652096
73	0.2116931665
74	0.2109535701
75	0.2102528213
76	0.2096262122
77	0.2089503222
78	0.2083089984
79	0.2077611239
80	0.2072219929
81	0.2066414774
82	0.2061694572
83	0.2056329621
84	0.2051156928
85	0.204629783
86	0.2041009132
87	0.2036537955
88	0.2032345607
89	0.2027923935
90	0.202354345
91	0.2018933089
92	0.2014911593
93	0.2011530307
94	0.2008331054
95	0.2004413995
96	0.2000725898
97	0.1997030224
98	0.1994020985
99	0.1990591299
