iter	Passed	Remaining
0	862	85400
1	1589	77896
2	2298	74331
3	3051	73235
4	3830	72788
5	4618	72361
6	5422	72042
7	6160	70840
8	6898	69750
9	7631	68680
10	8355	67606
11	9079	66584
12	9829	65779
13	10551	64814
14	11298	64023
15	12018	63098
16	12757	62285
17	13540	61685
18	14286	60904
19	15022	60090
20	15772	59333
21	16439	58285
22	17121	57320
23	17839	56492
24	18609	55827
25	19389	55185
26	20181	54563
27	21048	54124
28	21969	53787
29	22852	53322
30	23616	52564
31	24427	51907
32	25252	51271
33	26018	50505
34	26756	49690
35	27511	48909
36	28270	48136
37	29024	47355
38	29766	46558
39	30515	45773
40	31332	45088
41	32099	44328
42	32881	43587
43	33675	42859
44	34560	42240
45	35371	41523
46	36173	40791
47	36942	40020
48	37787	39330
49	38589	38589
50	39407	37861
51	40231	37137
52	41046	36399
53	41822	35626
54	42616	34868
55	43387	34090
56	44151	33307
57	44921	32529
58	45665	31733
59	46425	30950
60	47189	30170
61	47939	29382
62	48733	28621
63	49525	27858
64	50346	27109
65	51172	26361
66	52003	25613
67	52857	24874
68	53698	24125
69	54515	23363
70	55298	22586
71	56081	21809
72	56895	21043
73	57694	20270
74	58516	19505
75	59312	18730
76	60087	17948
77	60849	17162
78	61644	16386
79	62407	15601
80	63191	14822
81	64029	14055
82	64859	13284
83	65675	12509
84	66504	11736
85	67322	10959
86	68163	10185
87	68992	9408
88	69834	8631
89	70722	7858
90	71666	7087
91	72523	6306
92	73345	5520
93	74202	4736
94	75020	3948
95	75893	3162
96	76789	2374
97	77655	1584
98	78510	793
99	79361	0
